ts;Time;temp1;temp2;Package-id-0;Core-0-temp;Core-1-temp;Thread-0-freq;Thread-1-freq;Thread-2-freq;Thread-3-freq;
1556093875;2019-04-24-12:17;+27.8;+29.8;+52.0;+48.0;+52.0;3500.003;3499.997;3500.000;3499.998;
1556093878;2019-04-24-12:17;+27.8;+29.8;+36.0;+36.0;+36.0;900.008;900.029;900.003;900.036;
1556093881;2019-04-24-12:18;+27.8;+29.8;+37.0;+37.0;+36.0;1600.008;1600.002;1600.016;1600.003;
1556093884;2019-04-24-12:18;+27.8;+29.8;+51.0;+51.0;+51.0;2800.679;1404.849;1896.665;2160.788;
1556093887;2019-04-24-12:18;+27.8;+29.8;+43.0;+43.0;+42.0;2582.868;2599.199;2600.092;2599.544;
1556093890;2019-04-24-12:18;+27.8;+29.8;+37.0;+36.0;+36.0;900.003;900.004;900.005;900.007;
1556093893;2019-04-24-12:18;+27.8;+29.8;+37.0;+36.0;+35.0;898.775;899.377;898.357;899.923;
1556093896;2019-04-24-12:18;+27.8;+29.8;+39.0;+37.0;+38.0;1700.016;1700.006;1700.012;1700.003;
1556093899;2019-04-24-12:18;+27.8;+29.8;+36.0;+35.0;+35.0;806.974;806.022;807.160;802.925;
1556093902;2019-04-24-12:18;+27.8;+29.8;+36.0;+36.0;+36.0;853.801;830.147;834.511;826.546;
1556093905;2019-04-24-12:18;+27.8;+29.8;+36.0;+35.0;+35.0;800.000;799.999;799.998;799.999;
1556093908;2019-04-24-12:18;+27.8;+29.8;+36.0;+35.0;+35.0;1276.182;1337.401;1591.270;1244.257;
1556093911;2019-04-24-12:18;+27.8;+29.8;+37.0;+35.0;+35.0;1791.121;1753.904;1720.153;1627.458;
1556093914;2019-04-24-12:18;+27.8;+29.8;+36.0;+35.0;+35.0;1124.576;1279.123;1059.216;1000.193;
1556093917;2019-04-24-12:18;+27.8;+29.8;+39.0;+37.0;+37.0;900.010;900.008;900.002;900.007;
1556093920;2019-04-24-12:18;+27.8;+29.8;+53.0;+49.0;+53.0;3299.615;3299.998;3300.018;3300.004;
1556093923;2019-04-24-12:18;+27.8;+29.8;+37.0;+35.0;+35.0;800.009;800.000;800.003;800.004;
1556093926;2019-04-24-12:18;+27.8;+29.8;+52.0;+52.0;+47.0;3500.015;3500.008;3499.997;3500.005;
1556093929;2019-04-24-12:18;+27.8;+29.8;+56.0;+56.0;+50.0;3500.008;3266.328;3462.503;3306.710;
1556093932;2019-04-24-12:18;+27.8;+29.8;+65.0;+65.0;+53.0;3500.000;3500.014;3499.995;3500.005;
1556093935;2019-04-24-12:18;+27.8;+29.8;+37.0;+37.0;+36.0;800.009;800.005;800.009;800.035;
1556093938;2019-04-24-12:18;+27.8;+29.8;+39.0;+38.0;+37.0;2500.002;2500.017;2500.274;2500.078;
