ts;Time;temp1;temp2;Package id 0;Core 0;Core 1
1554128919;2019-04-01:18:28;+27.8;	+29.8;	+59.0;	+59.0;	+57.0
1554128922;2019-04-01:18:28;+27.8;	+29.8;	+60.0;	+60.0;	+58.0
1554128925;2019-04-01:18:28;+27.8;	+29.8;	+60.0;	+60.0;	+57.0
1554128928;2019-04-01:18:28;+27.8;	+29.8;	+61.0;	+61.0;	+57.0
1554128931;2019-04-01:18:28;+27.8;	+29.8;	+60.0;	+60.0;	+57.0
1554128934;2019-04-01:18:28;+27.8;	+29.8;	+60.0;	+60.0;	+56.0
1554128937;2019-04-01:18:28;+27.8;	+29.8;	+61.0;	+61.0;	+56.0
1554128940;2019-04-01:18:29;+27.8;	+29.8;	+60.0;	+60.0;	+56.0
1554128943;2019-04-01:18:29;+27.8;	+29.8;	+58.0;	+58.0;	+57.0
1554128946;2019-04-01:18:29;+27.8;	+29.8;	+60.0;	+60.0;	+57.0
1554128949;2019-04-01:18:29;+27.8;	+29.8;	+60.0;	+60.0;	+57.0
1554128953;2019-04-01:18:29;+27.8;	+29.8;	+60.0;	+60.0;	+56.0
1554128956;2019-04-01:18:29;+27.8;	+29.8;	+60.0;	+60.0;	+57.0
1554128959;2019-04-01:18:29;+27.8;	+29.8;	+59.0;	+59.0;	+57.0
1554128962;2019-04-01:18:29;+27.8;	+29.8;	+60.0;	+60.0;	+56.0
1554128965;2019-04-01:18:29;+27.8;	+29.8;	+60.0;	+60.0;	+58.0
1554128968;2019-04-01:18:29;+27.8;	+29.8;	+60.0;	+60.0;	+57.0
1554128971;2019-04-01:18:29;+27.8;	+29.8;	+61.0;	+61.0;	+57.0
1554128974;2019-04-01:18:29;+27.8;	+29.8;	+61.0;	+61.0;	+57.0
1554128977;2019-04-01:18:29;+27.8;	+29.8;	+61.0;	+62.0;	+58.0
1554128980;2019-04-01:18:29;+27.8;	+29.8;	+61.0;	+61.0;	+56.0
1554128983;2019-04-01:18:29;+27.8;	+29.8;	+61.0;	+61.0;	+56.0
1554128986;2019-04-01:18:29;+27.8;	+29.8;	+61.0;	+61.0;	+57.0
1554128989;2019-04-01:18:29;+27.8;	+29.8;	+60.0;	+60.0;	+58.0
1554128992;2019-04-01:18:29;+27.8;	+29.8;	+60.0;	+60.0;	+56.0
1554128995;2019-04-01:18:29;+27.8;	+29.8;	+60.0;	+60.0;	+56.0
1554128998;2019-04-01:18:29;+27.8;	+29.8;	+60.0;	+60.0;	+58.0
1554129001;2019-04-01:18:30;+27.8;	+29.8;	+59.0;	+59.0;	+57.0
1554129004;2019-04-01:18:30;+27.8;	+29.8;	+61.0;	+61.0;	+57.0
1554129007;2019-04-01:18:30;+27.8;	+29.8;	+59.0;	+58.0;	+57.0
1554129010;2019-04-01:18:30;+27.8;	+29.8;	+61.0;	+61.0;	+58.0
1554129013;2019-04-01:18:30;+27.8;	+29.8;	+60.0;	+60.0;	+58.0
1554129016;2019-04-01:18:30;+27.8;	+29.8;	+60.0;	+60.0;	+58.0
1554129019;2019-04-01:18:30;+27.8;	+29.8;	+61.0;	+61.0;	+58.0
1554129022;2019-04-01:18:30;+27.8;	+29.8;	+61.0;	+61.0;	+57.0
1554129025;2019-04-01:18:30;+27.8;	+29.8;	+61.0;	+61.0;	+58.0
1554129028;2019-04-01:18:30;+27.8;	+29.8;	+61.0;	+61.0;	+57.0
1554129031;2019-04-01:18:30;+27.8;	+29.8;	+60.0;	+60.0;	+58.0
1554129034;2019-04-01:18:30;+27.8;	+29.8;	+61.0;	+60.0;	+58.0
1554129037;2019-04-01:18:30;+27.8;	+29.8;	+60.0;	+60.0;	+57.0
1554129040;2019-04-01:18:30;+27.8;	+29.8;	+61.0;	+61.0;	+59.0
1554129043;2019-04-01:18:30;+27.8;	+29.8;	+61.0;	+61.0;	+58.0
1554129046;2019-04-01:18:30;+27.8;	+29.8;	+61.0;	+61.0;	+58.0
1554129050;2019-04-01:18:30;+27.8;	+29.8;	+61.0;	+61.0;	+57.0
1554129053;2019-04-01:18:30;+27.8;	+29.8;	+61.0;	+61.0;	+58.0
1554129056;2019-04-01:18:30;+27.8;	+29.8;	+61.0;	+61.0;	+59.0
1554129059;2019-04-01:18:30;+27.8;	+29.8;	+61.0;	+61.0;	+58.0
1554129062;2019-04-01:18:31;+27.8;	+29.8;	+61.0;	+61.0;	+58.0
1554129065;2019-04-01:18:31;+27.8;	+29.8;	+61.0;	+61.0;	+59.0
1554129068;2019-04-01:18:31;+27.8;	+29.8;	+61.0;	+61.0;	+57.0
1554129071;2019-04-01:18:31;+27.8;	+29.8;	+61.0;	+61.0;	+59.0
1554129074;2019-04-01:18:31;+27.8;	+29.8;	+61.0;	+61.0;	+58.0
1554129077;2019-04-01:18:31;+27.8;	+29.8;	+61.0;	+61.0;	+59.0
1554129080;2019-04-01:18:31;+27.8;	+29.8;	+61.0;	+61.0;	+58.0
1554129083;2019-04-01:18:31;+27.8;	+29.8;	+61.0;	+62.0;	+59.0
1554129086;2019-04-01:18:31;+27.8;	+29.8;	+60.0;	+60.0;	+57.0
1554129089;2019-04-01:18:31;+27.8;	+29.8;	+61.0;	+61.0;	+57.0
1554129092;2019-04-01:18:31;+27.8;	+29.8;	+62.0;	+62.0;	+59.0
1554129095;2019-04-01:18:31;+27.8;	+29.8;	+60.0;	+60.0;	+58.0
1554129098;2019-04-01:18:31;+27.8;	+29.8;	+61.0;	+61.0;	+58.0
1554129101;2019-04-01:18:31;+27.8;	+29.8;	+61.0;	+61.0;	+58.0
1554129104;2019-04-01:18:31;+27.8;	+29.8;	+61.0;	+61.0;	+59.0
1554129107;2019-04-01:18:31;+27.8;	+29.8;	+61.0;	+61.0;	+58.0
1554129110;2019-04-01:18:31;+27.8;	+29.8;	+61.0;	+61.0;	+58.0
1554129113;2019-04-01:18:31;+27.8;	+29.8;	+63.0;	+63.0;	+59.0
1554129116;2019-04-01:18:31;+27.8;	+29.8;	+61.0;	+61.0;	+59.0
1554129119;2019-04-01:18:31;+27.8;	+29.8;	+62.0;	+62.0;	+58.0
1554129122;2019-04-01:18:32;+27.8;	+29.8;	+62.0;	+62.0;	+58.0
1554129125;2019-04-01:18:32;+27.8;	+29.8;	+61.0;	+61.0;	+58.0
1554129128;2019-04-01:18:32;+27.8;	+29.8;	+61.0;	+61.0;	+58.0
1554129131;2019-04-01:18:32;+27.8;	+29.8;	+63.0;	+63.0;	+58.0
1554129135;2019-04-01:18:32;+27.8;	+29.8;	+63.0;	+63.0;	+59.0
1554129138;2019-04-01:18:32;+27.8;	+29.8;	+62.0;	+62.0;	+58.0
1554129141;2019-04-01:18:32;+27.8;	+29.8;	+62.0;	+62.0;	+58.0
1554129144;2019-04-01:18:32;+27.8;	+29.8;	+62.0;	+62.0;	+58.0
1554129147;2019-04-01:18:32;+27.8;	+29.8;	+62.0;	+62.0;	+59.0
1554129150;2019-04-01:18:32;+27.8;	+29.8;	+62.0;	+62.0;	+58.0
1554129153;2019-04-01:18:32;+27.8;	+29.8;	+62.0;	+62.0;	+60.0
1554129156;2019-04-01:18:32;+27.8;	+29.8;	+62.0;	+63.0;	+60.0
